ID,Post,Label
1,පාස්කු බෝම්බකරුවෙකු වූ ඊබ්‍රහිම්ගේ පුතෙකු සමගින් අනුර කුමාර දිසානායක සිටින බවට හුවමාරු වන ඡායාරූපයේ ඇත්ත කතාව!,0
2,"දමිතා, එළැඹෙන මැතිවරණයට සජබෙන් තරඟ කරනවාද?",0
3,"CID මඟින් අත්අඩංගුවට ගත්තේ කැලණිය මහ ශිෂ්‍ය සංගමයේ කැඳවුම්කරු කැලුම් නොව, එම සංගමයේම වෙනත් ක්‍රියාකාරිකයෙක් !",1
4,ව්‍යාජ කොරියානු භාෂා විභාග අයදුම්පත් ගූගල් පෝරමය ගැන ප්‍රවේසම් වන්න!,0
5,අධිවේගී මාර්ගයේ සිදු වූ හඳුන්නෙත්තිගේ සුළු අනතුර ගැන ව්‍යාජ අර්ථකථනයක්!,1
6,තලතා අතුකෝරළ ට සහ රොහිනි කවිරත්න ට සජබෙ මාධ්‍ය හමු වාරණය කර ඇති බවට පළවන පුවත් අසත්‍යයි!,1
7,“ලයිට් බිල වැඩී කියලා මට පිළිගන්න බැහැ” යනුවෙන් ප්‍රකාශයක් විදුලි බල අමාත්‍යවරයා සිදු කළා ද?,0
8,"ගාල්ල කර්මාන්ත හා වානිජ මණ්ඩල නිල වරණයෙන්, මාලිමා කණ්ඩායමක් ජය ලැබූ බවට පළවන වාර්තා අසත්‍යයි!",1
9,මාලිමාවට සම්බන්ධ පවුල්වල පාසල් සිසුන්ට පමණක් සීමා වූ කොණ්ඩේ කැපීමේ සේවාවක්?,0
10,ජෙනරාල් දයා රත්නායක සජබෙන් ඉවත්වී මව්බිම ජනතා පක්ෂයට එකතු වී නැහැ!,1
11,සරත් ෆොන්සේකා මාලිමාවට එක්වීමේ තීරණයක් ?,0
12,"විපක්ෂ නායක සජිත් ගැන, උපහාසාත්මක කෝණයෙන් හුවමාරු වන ව්‍යාජ සටහන්!",1
13,NPP නායකයින් සම්බන්ධයෙන් හුවමාරු වන අසත්‍ය සහ ව්‍යාජ සටහන් පෙළක්!,1
14,සනත් නිශාන්තගේ අභාවය සම්බන්ධයෙන් බිමල් රත්නායක ට්විටර් පණිවිඩයක් පළකළාද?,0
15,"බිමල් රත්නායක, සිය පවුලේ සාමාජිකයින් සමග විදෙස් සංචාරයක නිරත වූ අවස්ථාවක්?",0
